sID	Query	Preventer	DataSet	rating	justification	Cluster	Attention_Confirmation	Age	Sex	Technical_issues	Duration
91	test query: preventive strength	Necessary preventer	90_30_120_0	25	Looking at the left-hand diagram the vaccine does not look very effective but it is clearly better than nothing, on this basis I think it has about 25% effectiveness.	DeltaP	1	26	1	-99	486
93	test query: preventive strength	Necessary preventer	90_30_120_0	30	It's around the number who survived when vaccinated. But there could be some variation in the second trial.	DeltaP	1	40	1	-99	585
97	test query: preventive strength	Necessary preventer	90_30_120_0	30	Based on the animation, whilst all who did not receive the vaccine died, 30% of the vaccinated group survived	DeltaP	1	36	1	-99	633
99	test query: preventive strength	Necessary preventer	90_30_120_0	25	There is clearly more deaths than survival rates in the vaccinated group therefore the vaccine is not very effective.	DeltaP	1	19	2	-99	710
10	test query: preventive strength	Necessary preventer	60_60_120_0	33	Left side looks to have roughly one-third of circles still green.	DeltaP	1	31	1	none	475
106	test query: preventive strength	Necessary preventer	60_60_120_0	50	Difficult to count properly but seems 50 % of unvaccinated sample dies whereas 100 % of unvaccinated sample dies	DeltaP	1	28	2	-99	442
107	test query: preventive strength	Necessary preventer	60_60_120_0	50	About half of the mice survived when they were given the vaccine.	DeltaP	1	42	1	-99	938
12	test query: preventive strength	Necessary preventer	60_60_120_0	60	I counted the mice who lived in the vaccinated  sample and concluded that a similar amount would have survived if the unvaccinated samplie had been vaccinated.	DeltaP	1	62	1	-99	1099
18	test query: preventive strength	Necessary preventer	60_60_120_0	60	It prevented less deaths	DeltaP	1	28	2	-99	598
26	test query: preventive strength	Necessary preventer	60_60_120_0	60	This strain seems to affect the 40% of all mice, more or less, so that would leave us with 60 survivors	DeltaP	1	19	1	-99	857
28	test query: preventive strength	Necessary preventer	60_60_120_0	50	Based on the experiment, the effectiveness of the vaccine has managed to save roughly half of the total mice, which would lead to the same result if another 100 mice were to be added.	DeltaP	1	32	2	-99	1534
30	test query: preventive strength	Necessary preventer	60_60_120_0	55	The board on the left looks 50/50.	DeltaP	1	39	1	-99	759
40	test query: preventive strength	Necessary preventer	60_60_120_0	60	60 mice survived, compared to 0 percent of unvaccinated mice, so it protected 60% of the mice. (I hope I'm supposed to be actually counting these dots...)	DeltaP	1	41	1	-99	590
41	test query: preventive strength	Necessary preventer	60_60_120_0	50	A 50 percent chance is always better than nothing	DeltaP	1	30	2	none	1366
43	test query: preventive strength	Necessary preventer	60_60_120_0	55	Gauging the results of the vaccinated group visually (not actually counting), it seems like perhaps half the mice perished despite vaccination.	DeltaP	1	44	1	-99	999
47	test query: preventive strength	Necessary preventer	60_60_120_0	60	Only 60 vaccinated mice survived while all 100 unvaccinated died. It would be very hard to replicate having exactly 60 mice survive in another trial, I would expect this number to fluctuate up or down.	DeltaP	1	27	2	None	1294
53	test query: preventive strength	Necessary preventer	60_60_120_0	50	In the vaccinated group, it seems about half of the mice lived and half of the mice died, while in the control group it seems that all of the mice died. It is possible this is an outlier case, but since I don't have any additional information to go off of, I'm using the results of this experiment as a prediction.	DeltaP	1	19	2	-99	620
58	test query: preventive strength	Necessary preventer	60_60_120_0	50	It looks like its half and half really as half of the mice vaccinated died and half didnt, but i still think most would survive if they had the vaccination	DeltaP	1	44	2	NA	1011
61	test query: preventive strength	Necessary preventer	60_60_120_0	50	It seems them 50% of mice still died even with the vaccine	DeltaP	1	20	2	No	421
63	test query: preventive strength	Necessary preventer	60_60_120_0	55	It would appear that roughly 50% of mice survived after being vaccinated according to the graphics shown.  We assume it was the bacteria which killed the mice.	DeltaP	1	47	2	-99	717
65	test query: preventive strength	Necessary preventer	60_60_120_0	60	The test showed that there is about a 40% chance of dying from the disease even if you had been vaccinated. However, without the vaccine, death occurs 100% of the time.	DeltaP	1	57	2	There were no issues.	1113
70	test query: preventive strength	Necessary preventer	60_60_120_0	60	The results from the experiment show that the mice that just over half of the mice that were vaccinated lived after being exposed to the strain of bacteria. Therefore I would expect more than 50 vaccinated mice to still be alive in the sample out of 100 once exposed to the strain of bacteria	DeltaP	1	26	2	no technical issues occured.	1610
77	test query: preventive strength	Necessary preventer	60_60_120_0	50	All of the unvaccinated mice died while about 50% of the vaccinated ones survived	DeltaP	1	18	2	-99	339
79	test query: preventive strength	Necessary preventer	60_60_120_0	48	The grid is 12 by 10, or 120, but less than half living mice that got the vaccine, compared to none that did not. There is no other data to make any other determination.	DeltaP	1	51	1	-99	733
85	test query: preventive strength	Necessary preventer	60_60_120_0	50	the vaccine worked and saved 50%	DeltaP	1	19	1	-99	816
9	test query: preventive strength	Necessary preventer	60_60_120_0	72	About 70% survived the experiment	DeltaP	1	48	2	-99	283
91	test query: preventive strength	Necessary preventer	60_60_120_0	50	Looking at the diagram on the left, it appears to me that about half the vaccinated mice died, whereas all of the unvaccinated died. On this basis I came to the conclusion that the vaccine was about 50% effective.	DeltaP	1	26	1	-99	486
93	test query: preventive strength	Necessary preventer	60_60_120_0	60	I guess because around that number of mice surviced in the first trial when vaccinated. There will probably be some variation, though I can't tell for sure how much.	DeltaP	1	40	1	-99	585
97	test query: preventive strength	Necessary preventer	60_60_120_0	60	Based on the animation, whilst all mice who did not receive the vaccine died, 60% of those who did receive the vaccine survived.	DeltaP	1	36	1	-99	633
99	test query: preventive strength	Necessary preventer	60_60_120_0	50	The vaccinated group seems to be 50/50 in death and survival rate.	DeltaP	1	19	2	-99	710
10	test query: preventive strength	Necessary preventer	30_90_120_0	75	Left side looks quite effective with roughly 75% circles being green.	DeltaP	1	31	1	none	475
106	test query: preventive strength	Necessary preventer	30_90_120_0	75	All mice died in unvaccinated sample whereas approx 25 died in the vaccinated sample - suggests deaths are reduced by 75 by vaccination	DeltaP	1	28	2	-99	442
107	test query: preventive strength	Necessary preventer	30_90_120_0	75	About 75% of the mice survived in the experiment which indicates how effective the vaccine was.	DeltaP	1	42	1	-99	938
12	test query: preventive strength	Necessary preventer	30_90_120_0	60	I counted the mice who died in the first sample which was 30 and concluded that 60% of mice would survive if thet got the vaccine.	DeltaP	1	62	1	-99	1099
18	test query: preventive strength	Necessary preventer	30_90_120_0	70	It appears the vaccine was 70% effective in the trial	DeltaP	1	28	2	-99	598
26	test query: preventive strength	Necessary preventer	30_90_120_0	70	Analyzing the results of the animation, you can clearly see that around 65-75 (my guess) are alive, so i think that around 70 mice would survive based on this data	DeltaP	1	19	1	-99	857
28	test query: preventive strength	Necessary preventer	30_90_120_0	30	The effectiveness of this particular vaccine seems to have only saved the lives of about 30% of the total. This should possibly give around the same percentage effectiveness to another 100 mice.	DeltaP	1	32	2	-99	1534
30	test query: preventive strength	Necessary preventer	30_90_120_0	85	A smattering of grey in the left hand side.	DeltaP	1	39	1	-99	759
40	test query: preventive strength	Necessary preventer	30_90_120_0	70	70 mice survived compared to 100%, so the effect is 70% of 100%, or 70%.	DeltaP	1	41	1	-99	590
41	test query: preventive strength	Necessary preventer	30_90_120_0	70	it saved more than it killed so that positive outcome	DeltaP	1	30	2	none	1366
43	test query: preventive strength	Necessary preventer	30_90_120_0	70	I did quick count of the dead in vaccinated group (30 mice). The survival rate with vaccination would be 70%.	DeltaP	1	44	1	-99	999
47	test query: preventive strength	Necessary preventer	30_90_120_0	70	70 mice survived while 100 unvaccinated mice died. Shows the vaccine is somewhat effective but it's unclear why those 30 mice still died. I expect this number to fluctuate up or down slightly because it would be unlikely exactly 70 mice survived again.	DeltaP	1	27	2	None	1294
53	test query: preventive strength	Necessary preventer	30_90_120_0	66	According to the results of this experiment about 1/3 of the vaccinated mice died in the vaccinated group for every 100 mice that dies in the unvaccinated group. This means that 2/3 of the mice that died in the unvaccinated group would have survived if they were all vaccinated.	DeltaP	1	19	2	-99	620
58	test query: preventive strength	Necessary preventer	30_90_120_0	72	i came to this conclusion as 72 mice survived on the left side, and the remaining died.	DeltaP	1	44	2	NA	1011
61	test query: preventive strength	Necessary preventer	30_90_120_0	68	Quite a lot of  mice died over time even being vaccinated but all of them died being unvaccinated so it is quite effective	DeltaP	1	20	2	No	421
63	test query: preventive strength	Necessary preventer	30_90_120_0	84	It looks like 75% of the vaccinated mice survived.	DeltaP	1	47	2	-99	717
65	test query: preventive strength	Necessary preventer	30_90_120_0	70	The test showed a percentage rate of death of 30% among the vaccinated mice, whereas all of the unvaccinated mice died.	DeltaP	1	57	2	There were no issues.	1113
70	test query: preventive strength	Necessary preventer	30_90_120_0	70	The results in this experiment show that over half of the vaccinated mice survived after being exposed to the bacteria, I would expect about 70 mice out of a sample of 100 that have been vaccinated to remain alive after being exposed to the bacteria.	DeltaP	1	26	2	no technical issues occured.	1610
77	test query: preventive strength	Necessary preventer	30_90_120_0	74	ALL of the mice who were unvaccinated died. So at least 75% could have survived in that sample if they were vaccinated	DeltaP	1	18	2	-99	339
79	test query: preventive strength	Necessary preventer	30_90_120_0	72	Most vaccinated mice survived the experiment, and none that were not survived. I equate it to roughly 72% based on the 120 mice survival rate.	DeltaP	1	51	1	-99	733
85	test query: preventive strength	Necessary preventer	30_90_120_0	70	the vaccine works at 30%	DeltaP	1	19	1	-99	816
9	test query: preventive strength	Necessary preventer	30_90_120_0	86	About 85% survived with the vaccination.	DeltaP	1	48	2	-99	283
91	test query: preventive strength	Necessary preventer	30_90_120_0	75	Given that all unvaccinated mice died and only around 1/4 of vaccinated mice died, I feel the new vaccine would be around 75% effective in the imagined new group.	DeltaP	1	26	1	-99	486
93	test query: preventive strength	Necessary preventer	30_90_120_0	70	It's how many survived the first time.	DeltaP	1	40	1	-99	585
97	test query: preventive strength	Necessary preventer	30_90_120_0	70	Based on the animation, whilst all mice who did not receive the vaccine died, 70% of those who did receive the vaccine survived.	DeltaP	1	36	1	-99	633
99	test query: preventive strength	Necessary preventer	30_90_120_0	65	Although it is better than no vaccine at all (since the control group all died), there were still deaths occurring in the vaccinated group meaning it isn't 100% effective.	DeltaP	1	19	2	-99	710
10	test query: preventive strength	Necessary preventer	0_120_120_0	100	Since left side was all green by end, vaccine seems to be 100% effective	DeltaP	1	31	1	none	475
106	test query: preventive strength	Necessary preventer	0_120_120_0	100	All of the mice survived in the vaccinated sample and all the mice died in the unvaccinated sample - seems mortality is 100 % without vaccine but vacinne is very good at preventing disease	DeltaP	1	28	2	-99	442
107	test query: preventive strength	Necessary preventer	0_120_120_0	100	At the end of the experiment all the mice that were vaccinated survived so the vaccine can be said to be completely successful.	DeltaP	1	42	1	-99	938
12	test query: preventive strength	Necessary preventer	0_120_120_0	100	no mice died in the vaccinated sample a simple conclusion woulbe its a 100% successful	DeltaP	1	62	1	-99	1099
18	test query: preventive strength	Necessary preventer	0_120_120_0	100	vaccine appears to be effective	DeltaP	1	28	2	-99	598
26	test query: preventive strength	Necessary preventer	0_120_120_0	100	Vaccine is really effective against this strain, so I guess every mouse will surivive if vaccinated	DeltaP	1	19	1	-99	857
28	test query: preventive strength	Necessary preventer	0_120_120_0	100	The vaccinated mice all managed to remain alive which proves the 100% effectiveness of the vaccine.	DeltaP	1	32	2	-99	1534
30	test query: preventive strength	Necessary preventer	0_120_120_0	100	All the unvaccinated mice died.	DeltaP	1	39	1	-99	759
40	test query: preventive strength	Necessary preventer	0_120_120_0	100	100% of mice survived compared to 0%, so the effectiveness is 100% of the 100% who died. Therefore, 100%	DeltaP	1	41	1	-99	590
41	test query: preventive strength	Necessary preventer	0_120_120_0	100	as it showed above the vaccine worked well	DeltaP	1	30	2	none	1366
43	test query: preventive strength	Necessary preventer	0_120_120_0	100	All vaccinated mice survived, hence all vaccinated mice in a new group would be expected to live.	DeltaP	1	44	1	-99	999
47	test query: preventive strength	Necessary preventer	0_120_120_0	100	All the vaccinated mice lived, while all the non-vaccinated mice died. I don't know if they died because of the bacteria or not, based on this animation and without further information, I can only assume the vaccine is the reason the 100 mice on the left lived.	DeltaP	1	27	2	None	1294
53	test query: preventive strength	Necessary preventer	0_120_120_0	95	In this experiment every single mice lived in the vaccinated group, however I find it impossible that the vaccine will save every single mice, and I find it more likely that this experiment was somewhat of an outlier. But since every single mice lived in the vaccinated group, it still must have a high survival rate, so that's why I said I would expect 95 mice to live.	DeltaP	1	19	2	-99	620
58	test query: preventive strength	Necessary preventer	0_120_120_0	99	i looked at the above study and all those mice who were vaccinated survived and the ones who didnt died, so that is how i came to the above conclusion and i would stay that way with it as well right now	DeltaP	1	44	2	NA	1011
61	test query: preventive strength	Necessary preventer	0_120_120_0	99	It seems highly effective but can't always be certain, the disease seems to be vicious given how fast all the other unvaccinated ones died	DeltaP	1	20	2	No	421
63	test query: preventive strength	Necessary preventer	0_120_120_0	100	It would appear that 100% of the mice survived who had the vaccination.	DeltaP	1	47	2	-99	717
65	test query: preventive strength	Necessary preventer	0_120_120_0	100	None of the mice that were vaccinated was affected by the bacteria strain, whereas all of the unvaccinated mice succumbed to the strain. This appears to show that the vaccine is 100% effective against the strain.	DeltaP	1	57	2	There were no issues.	1113
70	test query: preventive strength	Necessary preventer	0_120_120_0	100	In the experiment the controlled sample of mice that were not vaccinated all died when exposed to the strain of bacteria, whilst the vaccinated group all lived. In the samples there were 120 mice so I would say in a situation where 100 mice were vaccinated I would expected them all to still be alive after being exposed to the disease.	DeltaP	1	26	2	no technical issues occured.	1610
77	test query: preventive strength	Necessary preventer	0_120_120_0	100	Every mouse with the vaccine survived while every mouse without one died	DeltaP	1	18	2	-99	339
79	test query: preventive strength	Necessary preventer	0_120_120_0	98	Because the experiment showed the vaccinated mice all lived and the unvaccinated mice all died.	DeltaP	1	51	1	-99	733
85	test query: preventive strength	Necessary preventer	0_120_120_0	100	None of the mice died	DeltaP	1	19	1	-99	816
9	test query: preventive strength	Necessary preventer	0_120_120_0	100	All the mice survived with the vaccination	DeltaP	1	48	2	-99	283
91	test query: preventive strength	Necessary preventer	0_120_120_0	100	No mice in the vaccinated sample died, based on this sample, the vaccine is 100% effective.	DeltaP	1	26	1	-99	486
93	test query: preventive strength	Necessary preventer	0_120_120_0	100	That's how many survived in the vaccinated group. Again, there could be some variation when trying again.	DeltaP	1	40	1	-99	585
97	test query: preventive strength	Necessary preventer	0_120_120_0	100	Based on the animation it showed that all mice who got vaccinated survived	DeltaP	1	36	1	-99	633
99	test query: preventive strength	Necessary preventer	0_120_120_0	99	It seems to be very effective due to there being no deaths in the vaccinated group, however I believe not all vaccines are 100%, so this may be 99.9% effective.	DeltaP	1	19	2	-99	710
102	test query: preventive strength	Sufficient preventer	0_120_120_0	99	The vaccinated sample all survived and the control sample all died	Equation_1	1	28	2	-99	486
109	test query: preventive strength	Sufficient preventer	0_120_120_0	69	The vaccine could have immunized them	Equation_1	1	26	2	-99	1819
110	test query: preventive strength	Sufficient preventer	0_120_120_0	100	Because the 100 unvaccinated before have now vaccinated	Equation_1	1	41	2	-99	1358
15	test query: preventive strength	Sufficient preventer	0_120_120_0	100	Again judging by the effect that not being vaccinated had on the previous group I believe that all the mice in the new group would survive due to being given the vaccine.	Equation_1	1	52	2	-99	1031
20	test query: preventive strength	Sufficient preventer	0_120_120_0	100	all unvaccinated died	DeltaP	1	50	2	-99	465
27	test query: preventive strength	Sufficient preventer	0_120_120_0	100	same as the last one- all of them are alive	Equation_1	1	26	3	-99	314
3	test query: preventive strength	Sufficient preventer	0_120_120_0	100	Because all of the vaccinated mice in the experiment survived.	Equation_1	1	52	2	-99	552
33	test query: preventive strength	Sufficient preventer	0_120_120_0	100	because thats how many survived	DeltaP	1	53	1	-99	2554
36	test query: preventive strength	Sufficient preventer	0_120_120_0	100	The animation shows that all vaccinated mice survived	Equation_1	1	40	1	no	712
37	test query: preventive strength	Sufficient preventer	0_120_120_0	100	The vaccine prevents the mice from dying.	Equation_1	1	23	2	-99	410
39	test query: preventive strength	Sufficient preventer	0_120_120_0	100	The vaccine prevented dying from the disease in 100% of mice so I assumed the new group would have the same outcome.	Equation_1	1	42	2	-99	867
4	test query: preventive strength	Sufficient preventer	0_120_120_0	100	All the other mice was still alive after being vaccinated	DeltaP	1	18	1	-99	633
49	test query: preventive strength	Sufficient preventer	0_120_120_0	99	All unvaccinated mice died, the onces with the vaccine all survived.	Equation_1	1	48	2	none	283
52	test query: preventive strength	Sufficient preventer	0_120_120_0	98	basicallh everyone survived in thexpirement	Equation_1	1	19	1	-99	302
57	test query: preventive strength	Sufficient preventer	0_120_120_0	100	they would have all survived if they received the vaccine	Equation_1	1	34	2	it timed out after the first experiment so I refreshed the page and it worked fine	612
62	test query: preventive strength	Sufficient preventer	0_120_120_0	87	Judging by the slides it seems the vacccine is 100% effective	Equation_1	1	62	2	No	511
67	test query: preventive strength	Sufficient preventer	0_120_120_0	100	all the vaccinated mice survived so it would suggest the vaccine would save all the mice	Equation_1	1	45	2	none	613
71	test query: preventive strength	Sufficient preventer	0_120_120_0	100	As all the unvaccinated mice died from this strain of the bacteria, and none of the vaccinated mice died, the evidence for the efficacy of the vaccination is very strong in this case.	Equation_1	1	77	1	-99	1657
74	test query: preventive strength	Sufficient preventer	0_120_120_0	100	The animation proves that the vaccine saves 100% of all mice from the disease	DeltaP	1	27	1	-99	728
78	test query: preventive strength	Sufficient preventer	0_120_120_0	100	All the previously vaccinated mice survived.	Equation_1	1	53	1	-99	687
8	test query: preventive strength	Sufficient preventer	0_120_120_0	100	all unvaccinated mice died where as vaccinated mice or stayed alive according to The experiment	Equation_1	1	55	1	-99	986
81	test query: preventive strength	Sufficient preventer	0_120_120_0	93	Same as before.	Equation_1	1	41	2	-99	288
82	test query: preventive strength	Sufficient preventer	0_120_120_0	100	In this study, all of the vaccinated mice survived.  This suggests, despite the high mortality rate of the unvaccinated group, that all of the second group would also have survived had they been vaccinated.	Equation_1	1	56	2	no issues	1036
87	test query: preventive strength	Sufficient preventer	0_120_120_0	100	100% death rate of those unvaccinated and 100% alive of those who were vaccinated.	Equation_1	1	51	2	no	1234
95	test query: preventive strength	Sufficient preventer	0_120_120_0	100	All mice in the original vaccine trial survived.	Equation_1	1	38	1	-99	469
96	test query: preventive strength	Sufficient preventer	0_120_120_0	100	Based on the data, no mice that were vaccinated died, so therefore we can assume its 100% effective	Equation_1	1	32	1	-99	945
102	test query: preventive strength	Sufficient preventer	0_120_90_30	100	All of the vaccinated sample survived	Equation_1	1	28	2	-99	486
109	test query: preventive strength	Sufficient preventer	0_120_90_30	64	They would have survived if they were vaccinated	Equation_1	1	26	2	-99	1819
110	test query: preventive strength	Sufficient preventer	0_120_90_30	100	because vaccinated mice will become living things	Equation_1	1	41	2	-99	1358
15	test query: preventive strength	Sufficient preventer	0_120_90_30	100	Judging by the effectiveness of the original vaccinated group it would seem that all the 100 mice in the new group would survive if given the vaccine.	Equation_1	1	52	2	-99	1031
20	test query: preventive strength	Sufficient preventer	0_120_90_30	75	rough percentage	DeltaP	1	50	2	-99	465
27	test query: preventive strength	Sufficient preventer	0_120_90_30	100	all vaccinated mices are alive- from the animation	Equation_1	1	26	3	-99	314
3	test query: preventive strength	Sufficient preventer	0_120_90_30	100	Because all of the vaccinated mice in the experiment survived.	Equation_1	1	52	2	-99	552
33	test query: preventive strength	Sufficient preventer	0_120_90_30	30	because that how many survived	DeltaP	1	53	1	-99	2554
36	test query: preventive strength	Sufficient preventer	0_120_90_30	100	All vaccinated mice survived	Equation_1	1	40	1	no	712
37	test query: preventive strength	Sufficient preventer	0_120_90_30	100	none of the vaccinated mice died which means the vaccine protects against the disease	Equation_1	1	23	2	-99	410
39	test query: preventive strength	Sufficient preventer	0_120_90_30	100	Oops, screwed up on the other experiment before this one. 100% of mice lived when having the vaccine so I assume in the new study 100% would probably live as well.	Equation_1	1	42	2	-99	867
4	test query: preventive strength	Sufficient preventer	0_120_90_30	100	All the other mice got saved by the vaccine	DeltaP	1	18	1	-99	633
49	test query: preventive strength	Sufficient preventer	0_120_90_30	100	none of the vaccinated group died	Equation_1	1	48	2	none	283
52	test query: preventive strength	Sufficient preventer	0_120_90_30	97	vaccine seems very effective none dies who took it	Equation_1	1	19	1	-99	302
57	test query: preventive strength	Sufficient preventer	0_120_90_30	100	in the above example the total sample vaccinated all survived	Equation_1	1	34	2	it timed out after the first experiment so I refreshed the page and it worked fine	612
62	test query: preventive strength	Sufficient preventer	0_120_90_30	100	It still seems the vaccination is effective	Equation_1	1	62	2	No	511
67	test query: preventive strength	Sufficient preventer	0_120_90_30	97	I think nearly all of them would have survived as all those who were vaccinated survived	Equation_1	1	45	2	none	613
71	test query: preventive strength	Sufficient preventer	0_120_90_30	100	Again although 75% died in the unvaccinated group, none died in the vaccinated group so we have no evidence that the vaccine is anything but 100% effective.	Equation_1	1	77	1	-99	1657
74	test query: preventive strength	Sufficient preventer	0_120_90_30	82	It looked like about 80 unvaccinated mice died due to the disease whereas none died from the vaccinated group	DeltaP	1	27	1	-99	728
78	test query: preventive strength	Sufficient preventer	0_120_90_30	100	All the vaccinated mice previously survived.	Equation_1	1	53	1	-99	687
8	test query: preventive strength	Sufficient preventer	0_120_90_30	99	The test showed that the vaccination works successfully and unvaccinated had a good 75 to 80% death rate	Equation_1	1	55	1	-99	986
81	test query: preventive strength	Sufficient preventer	0_120_90_30	93	While all of the mice who were vaccinated survived, around 30% of them likely didn't need the vaccine to do so. In addition, the vaccine will actually kill some mice who take it due to complications. Lastly, it cannot be 100% effective.	Equation_1	1	41	2	-99	288
82	test query: preventive strength	Sufficient preventer	0_120_90_30	100	Once more, all of the vaccinated group survived.	Equation_1	1	56	2	no issues	1036
87	test query: preventive strength	Sufficient preventer	0_120_90_30	100	70% death rate of those mice not vaccinated. 100% of those vaccinated lived.	Equation_1	1	51	2	no	1234
95	test query: preventive strength	Sufficient preventer	0_120_90_30	100	All originally vaccinated mice survived, so it ca be assumed that the newly vaccinated mice would also survive.	Equation_1	1	38	1	-99	469
96	test query: preventive strength	Sufficient preventer	0_120_90_30	80	80% of the unvaccinated mice died compared to 0% vaccinated	Equation_1	1	32	1	-99	945
102	test query: preventive strength	Sufficient preventer	0_120_60_60	100	All of the control group survived	Equation_1	1	28	2	-99	486
109	test query: preventive strength	Sufficient preventer	0_120_60_60	66	The vaccine would have preserved them	Equation_1	1	26	2	-99	1819
110	test query: preventive strength	Sufficient preventer	0_120_60_60	53	Because it is possible for some to die out of 100 mice	Equation_1	1	41	2	-99	1358
15	test query: preventive strength	Sufficient preventer	0_120_60_60	100	I believe that the vaccine would have been effective enough for all of the 100 mice to have survived judging by the effect that the vaccine had in the original vaccinated sample.	Equation_1	1	52	2	-99	1031
20	test query: preventive strength	Sufficient preventer	0_120_60_60	50	looks roughly half	DeltaP	1	50	2	-99	465
27	test query: preventive strength	Sufficient preventer	0_120_60_60	100	all the same, still there are only green circles with vaccinated animation :)	Equation_1	1	26	3	-99	314
3	test query: preventive strength	Sufficient preventer	0_120_60_60	100	Because all of the vaccinated mice in the experiment survived.	Equation_1	1	52	2	-99	552
33	test query: preventive strength	Sufficient preventer	0_120_60_60	41	because that how many survived	DeltaP	1	53	1	-99	2554
36	test query: preventive strength	Sufficient preventer	0_120_60_60	100	All vaccinated mice survived	Equation_1	1	40	1	no	712
37	test query: preventive strength	Sufficient preventer	0_120_60_60	100	None of the vaccinated mice died which means the vaccine protected them	Equation_1	1	23	2	-99	410
39	test query: preventive strength	Sufficient preventer	0_120_60_60	100	Close to 100% would survive.	Equation_1	1	42	2	-99	867
4	test query: preventive strength	Sufficient preventer	0_120_60_60	100	Because 100 percent of the mice are still alive, it helped all the mice	DeltaP	1	18	1	-99	633
49	test query: preventive strength	Sufficient preventer	0_120_60_60	100	none of the vaccinated group died at all	Equation_1	1	48	2	none	283
52	test query: preventive strength	Sufficient preventer	0_120_60_60	86	im gonna assume it wont save them all as other may have pre existing diseases that may influence the lei=thiality of the bacgteria	Equation_1	1	19	1	-99	302
57	test query: preventive strength	Sufficient preventer	0_120_60_60	99	they should have all survived if they had had the vaccine according to this experiment	Equation_1	1	34	2	it timed out after the first experiment so I refreshed the page and it worked fine	612
62	test query: preventive strength	Sufficient preventer	0_120_60_60	100	Think the vaccination would have been effective	Equation_1	1	62	2	No	511
67	test query: preventive strength	Sufficient preventer	0_120_60_60	99	no vaccinated mouse died so the vaccine seems effective	Equation_1	1	45	2	none	613
